row_position,mean_score,mean_row_placement,mean_gap_left,v_move_ratio
100000,0.768,2.27197,0.31438,0.52787
200000,1.397,2.24189,0.42222,0.52638
300000,1.308,2.25291,0.44499,0.52631
400000,1.145,2.25147,0.46793,0.52632
500000,1.233,2.26679,0.46188,0.52631
600000,1.482,2.23292,0.45018,0.52633
611390,1.009657594381036,2.254609306409131,0.4507462686567164,0.5263388937664618
