row_position,mean_score,mean_row_placement,mean_gap_left,v_move_ratio
100000,0.68,2.34351,0.27542,0.52548
200000,1.156,2.26557,0.36673,0.52636
300000,1.443,2.24766,0.42486,0.52634
400000,1.644,2.24381,0.42949,0.52633
500000,1.412,2.27024,0.47212,0.52633
600000,1.468,2.26083,0.45726,0.52635
649244,2.0956867841767526,2.26062058321826,0.43751523028186173,0.5263179270571035
